"Jour","Heure début","Heure fin","Classe","Groupe","Enseignant","Matière"
"Lundi","08:00","10:00","TCSF-1","","Bennani Ahmed","Mathématiques"
"Lundi","10:00","12:00","TCSF-2","","Chraibi Fatima Zahra","Physique-Chimie"
"Lundi","14:00","16:00","1BACSC-1","","Daoudi Hassan","SVT"
"Lundi","16:00","18:00","2BACPC-1","","Erragragui Khadija","Français"
"Mardi","08:00","10:00","TCSF-1","G1","Bennani Ahmed","Mathématiques (TP)"
"Mardi","10:00","12:00","2BACPC-1","","Chraibi Fatima Zahra","Physique-Chimie"
"Mardi","14:00","16:00","1BACSC-1","","Filali Mostafa","Anglais"
"Mercredi","08:00","10:00","TCSF-2","","Guedira Samira","Arabe"
"Mercredi","14:00","16:00","2BACPC-2","","Idrissi Naima","Informatique"
"Jeudi","08:00","10:00","1BACSC-1","","Bennani Ahmed","Mathématiques"
"Jeudi","16:00","18:00","TCSF-1","","Hakimi Youssef","EPS"
"Vendredi","08:00","10:00","2BACPC-1","","Chraibi Fatima Zahra","Physique-Chimie"
"Vendredi","14:00","15:00","1BACSC-1","","Daoudi Hassan","SVT"
"Samedi","08:00","10:00","2BACPC-2","","Erragragui Khadija","Français"
